
 Mean for ROI 0, contrast 0 is -0.000160, st dev is  1.768340
 Mean for ROI 0, contrast 1 is -0.806799, st dev is  1.366998
 Mean for ROI 0, contrast 2 is -0.296653, st dev is  1.362454
 Mean for ROI 0, contrast 3 is -0.249211, st dev is  1.470666
 Mean for ROI 0, contrast 4 is -0.221876, st dev is  1.257118
 Mean for ROI 0, contrast 5 is -0.584037, st dev is  1.428729
 Mean for ROI 0, contrast 6 is -0.304116, st dev is  1.090576
 Mean for ROI 0, contrast 7 is -0.042064, st dev is  1.010139
 Mean for ROI 0, contrast 8 is 1.379888, st dev is  0.922121
 Mean for ROI 0, contrast 9 is 0.077871, st dev is  1.116889
 Mean for ROI 0, contrast 10 is -0.790648, st dev is  0.835944
 Mean for ROI 0, contrast 11 is -0.284184, st dev is  0.991914
 Mean for ROI 0, contrast 12 is -0.361102, st dev is  0.956394
 Mean for ROI 0, contrast 13 is -0.521403, st dev is  1.208973
 Mean for ROI 0, contrast 14 is -0.678605, st dev is  0.793648
 Mean for ROI 0, contrast 15 is -0.717054, st dev is  0.782255
 Mean for ROI 0, contrast 16 is 2.131987, st dev is  1.410989
 Mean for ROI 0, contrast 17 is 2.326011, st dev is  1.299175
 Mean for ROI 0, contrast 18 is -0.045174, st dev is  0.931796
 Mean for ROI 0, contrast 19 is -0.178676, st dev is  0.903589
 Mean for ROI 1, contrast 0 is 0.725057, st dev is  1.777243
 Mean for ROI 1, contrast 1 is -0.158863, st dev is  1.259501
 Mean for ROI 1, contrast 2 is 0.344605, st dev is  1.292716
 Mean for ROI 1, contrast 3 is 0.480346, st dev is  1.275020
 Mean for ROI 1, contrast 4 is 0.119882, st dev is  1.199339
 Mean for ROI 1, contrast 5 is -0.053669, st dev is  1.391915
 Mean for ROI 1, contrast 6 is -0.591984, st dev is  1.154104
 Mean for ROI 1, contrast 7 is -0.381793, st dev is  1.151668
 Mean for ROI 1, contrast 8 is -0.062626, st dev is  0.870002
 Mean for ROI 1, contrast 9 is 0.179055, st dev is  1.053344
 Mean for ROI 1, contrast 10 is -0.132220, st dev is  0.897061
 Mean for ROI 1, contrast 11 is 0.043422, st dev is  1.035247
 Mean for ROI 1, contrast 12 is 0.193896, st dev is  0.913276
 Mean for ROI 1, contrast 13 is 0.302523, st dev is  1.079155
 Mean for ROI 1, contrast 14 is -0.850579, st dev is  0.817469
 Mean for ROI 1, contrast 15 is -0.468512, st dev is  0.834163
 Mean for ROI 1, contrast 16 is 0.194923, st dev is  0.938528
 Mean for ROI 1, contrast 17 is 0.440362, st dev is  1.084541
 Mean for ROI 1, contrast 18 is -0.338045, st dev is  0.838215
 Mean for ROI 1, contrast 19 is -0.492224, st dev is  0.819177
 Mean for ROI 2, contrast 0 is -0.935937, st dev is  1.517365
 Mean for ROI 2, contrast 1 is -1.154013, st dev is  1.176072
 Mean for ROI 2, contrast 2 is -0.845656, st dev is  1.162473
 Mean for ROI 2, contrast 3 is -0.704152, st dev is  1.256644
 Mean for ROI 2, contrast 4 is -0.754847, st dev is  1.108311
 Mean for ROI 2, contrast 5 is -1.117999, st dev is  1.243572
 Mean for ROI 2, contrast 6 is -1.614648, st dev is  0.970860
 Mean for ROI 2, contrast 7 is -1.460230, st dev is  0.912094
 Mean for ROI 2, contrast 8 is -0.249324, st dev is  0.807412
 Mean for ROI 2, contrast 9 is 0.055567, st dev is  1.103919
 Mean for ROI 2, contrast 10 is -0.360477, st dev is  0.951755
 Mean for ROI 2, contrast 11 is -0.048726, st dev is  1.059657
 Mean for ROI 2, contrast 12 is -0.044638, st dev is  0.902298
 Mean for ROI 2, contrast 13 is 0.181452, st dev is  1.135419
 Mean for ROI 2, contrast 14 is -1.110407, st dev is  0.753496
