,con_0bk,roi-007,roi-018,roi-022,roi-153,roi-154,roi-160,roi-163,roi-187,roi-198,roi-202,roi-333,roi-334,roi-340,roi-343,sub
0,face,4.396594757835071,3.9928568785103993,2.3424333272851072,0.5664663903663556,1.159698594601885,-0.136396914299938,2.001827710190741,3.468135333995321,2.8008264157027876,3.0412502144613573,-0.05136845183517268,1.1372091404315252,0.29817824838338075,2.2985463121733747,178950
1,place,5.737142170920516,3.0359165145436653,3.2385766934603453,0.2551569154361884,4.569348306425156,1.5322219968563127,5.061818422890511,6.364421004679666,3.093295415329654,3.9049148232706132,0.006340628655830232,5.058201086610111,2.6743035551942427,3.2465362611438047,178950
2,tool,6.158276624751814,4.5420450945510655,6.293264199979603,1.063422258918484,4.595413396195058,1.5084413718131762,5.194695569887883,6.401842547886408,3.43638375907461,7.2733623308520166,0.5568450813707296,4.792868265465124,2.5446457119635593,3.6389312226904416,178950
3,face,1.7697553726082498,3.4064039754605777,3.981970949214883,-0.31324953749775886,-0.18128821899271344,-0.9863836800439223,1.7177230712308103,2.903624144507878,2.4158407439265335,3.8085733075295725,-1.4518134092340376,1.2579685315044957,-0.29891059837407535,1.9175025346422834,189450
4,place,3.7714414009542176,2.711102019647778,2.870204553764779,0.4072754646341006,2.746310104285517,3.09012927108955,1.4750884371739226,4.213074886783915,1.5719029859596134,2.3289578144228265,0.282753714816737,2.7183486712512686,1.8839419806077156,2.0138292189319658,189450
5,tool,4.465466271295692,3.186799538598673,5.934984056046233,-0.7167613426285485,3.184806750456412,1.1059116227627401,2.622396881731243,5.437287976492697,1.121686659438797,5.795680097033901,-0.8422546250616559,2.9627932014583207,0.5412503954161096,0.6924979265059242,189450
6,face,4.267346931677876,5.162047500948648,7.377952203154564,0.03662561612824599,2.397803924016414,-0.6037678148056711,2.0204932128055755,6.353171032088906,4.065420465227979,4.2796635872894715,0.02903852729809166,1.3499975484142552,1.3018543883054345,3.6457850789659103,199453
7,place,6.559058138818452,2.5860005918625943,6.83649517968297,2.54205652932326,7.545277741647536,4.774094636521993,3.50683888902559,8.193282098912482,4.6149792907901155,5.004020373066587,0.7365474002343593,5.829505788301354,4.965002299550875,4.5035852899446205,199453
8,tool,3.235407700141271,1.0426740803932015,4.264638684689999,-1.425749829908212,2.4198344851874056,0.2212880300958791,1.8454345215260302,2.626255120275848,2.427319546815618,2.6584056445187136,-1.6321351345591615,1.413040665214631,-0.6306090163595882,2.4766256364860704,199453
9,face,6.929155878948443,3.5713049861526973,4.543213149532676,-0.3269436974140505,1.6271380908606994,-0.28635572891442046,2.4949186674373993,5.857146921442516,3.2240170335930864,6.230970453831457,-1.1369787141090573,3.1339084065672176,0.442726881576725,2.2672212177558855,209228
10,place,6.58578345450488,2.9689941746056885,5.548959281470161,0.2962911903609832,5.826105561948592,2.3510238426707444,3.369749123058399,7.852388483374866,3.722248633179748,5.820877519105712,0.7475106384568285,6.4704153110731895,3.404686671854169,4.247962147811381,209228
